s.no,GPU,MRP
1,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
2,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
3,ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹4,399"
4,ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹2,049"
5,ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹4,557"
6,GIGABYTE NVIDIA GV-N710D3-2GL 2 GB DDR3 Graphics Card,"₹3,999"
7,GEONIX NVIDIA GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹2,990"
8,GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,"₹6,870"
9,ZOTAC NVIDIA GTX1650AMP 4 GB GDDR6 Graphics Card,"₹13,950"
10,ASUS AMD Radeon PH-RX550-4G-EVO 4 GB GDDR5 Graphics Card,"₹9,999"
11,GEONIX NVIDIA Geonix610 2 GB DDR3 Graphics Card,"₹1,890"
12,Inno3D NVIDIA GEFORCE GTX 1660 Super Twin X2 6 GB GDDR6 Graphics Card,"₹21,599"
13,GIGABYTE NVIDIA GV-N1656WF2OC-4GD 4 GB GDDR6 Graphics Card,"₹14,990"
14,ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6 Graphics Card,"₹30,000"
15,ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹4,099"
16,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
17,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
18,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
19,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
20,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
21,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
22,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
23,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
24,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
25,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
