s.no,motherBoard,MRP
1,ASRock B450M-HDV Motherboard,"₹5,678"
2,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
3,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
4,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
5,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
6,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
7,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
8,Ant Value G41MAD3 Motherboard,"₹2,161"
9,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
10,ASUS PRIME A320M-K Motherboard,"₹5,999"
11,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
12,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
13,ZEBRONICS H61 Motherboard,"₹2,104"
14,ASRock B550M Pro4 Motherboard,"₹9,389"
15,GIGABYTE A520M K Motherboard,"₹5,899"
16,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
17,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
18,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
19,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
20,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
21,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
22,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
23,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
24,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
25,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
26,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
27,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
28,LAPCARE h81 Motherboard,"₹3,299"
29,ASRock B560 Steel Legend Motherboard,"₹11,720"
30,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
31,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
32,ASRock B550 PG Riptide Motherboard,"₹12,179"
33,ASRock Z690 Pro RS Motherboard,"₹17,999"
34,ASUS Prime Z690-A Motherboard,"₹29,950"
35,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
36,MSI PRO H410M-B Motherboard,"₹6,999"
37,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
38,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
39,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
40,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
41,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
42,ASUS Prime B550M-K Motherboard,"₹10,384"
43,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
44,GIGABYTE B650M K Motherboard,"₹14,500"
45,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
46,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
47,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
48,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
49,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
50,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
51,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
52,GEONIX Geonix_H61 Motherboard,"₹1,790"
53,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
54,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
55,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
56,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
57,Frontech G41/775 DDR2 Motherboard,"₹1,974"
58,Matrix MXH81 Motherboard,"₹2,591"
59,Ant Value H110MAD4 Motherboard,"₹4,256"
60,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
61,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
62,GIGABYTE B450-S2H Motherboard,"₹6,749"
63,ASRock B560 Pro4 Motherboard,"₹9,299"
64,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
65,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
66,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
67,ASRock B550 Taichi Motherboard,"₹23,449"
68,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
69,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
70,ASUS Prime H510M-E Motherboard,"₹7,499"
71,ASRock B660 Pro RS Motherboard,"₹11,499"
72,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
73,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
74,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
75,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
76,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
77,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
78,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
79,MSI Z590 UNIFY Motherboard,"₹28,844"
80,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
81,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
82,MSI B560M PRO-E Motherboard,"₹8,499"
83,ASRock Z690 Steel Legend Motherboard,"₹22,499"
84,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
85,Matrix MXH61 Motherboard,"₹1,976"
86,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
87,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
88,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
89,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
90,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
91,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
92,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
93,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
94,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
95,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
96,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
97,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
98,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
99,Dtech H110M4-C2H Motherboard,"₹2,999"
100,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
101,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
102,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
103,Ant Value H61MAD3 Motherboard,"₹5,499"
104,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
105,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
106,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
107,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
108,ASRock B650 PG Lightning Motherboard,"₹20,799"
109,ASRock B550 Pro4 Motherboard,"₹16,149"
110,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
111,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
112,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
113,ASRock Z590 OC Formula Motherboard,"₹55,809"
114,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
115,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
116,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
117,ASRock B650 Pro RS Motherboard,"₹21,949"
118,MSI Z590 PRO WIFI Motherboard,"₹21,699"
119,GEONIX GX-H81 D3 Motherboard,"₹2,690"
120,ZEBRONICS G41 Motherboard,"₹1,999"
121,ZEBRONICS ZEB H61 MBRD Motherboard,"₹2,199"
122,MSI MEG Z690 Ace E-ATX Motherboard,"₹74,078"
123,MSI PRO Z690-A WIFI Motherboard,"₹28,999"
124,MSI Z490-A PRO ATX LGA 1200 Gaming Motherboard,"₹12,999"
125,ASRock Z690 Taichi Razer Edition Motherboard,"₹54,999"
126,GIGABYTE ?B760M DS3H AX Motherboard,"₹17,499"
127,ASUS Tuf Gaming Z690-Plus D4 Motherboard,"₹25,498"
128,ZEBRONICS H61+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,999"
129,ZEBRONICS H61 Supported Socket 1155 RAM DDR3 Motherboard,"₹2,225"
130,MSI MPG Z490 GAMING CARBON WIFI ATX LGA 1200 Gaming Motherboard,"₹27,879"
131,"Raspberry Pi 4 Model B 4GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 4GB Motherboard","₹9,500"
132,ASUS Prime Z690M-Plus Motherboard,"₹21,009"
133,ASRock Z790 Pro RS WiFi Motherboard,"₹28,849"
134,ASUS ?TUF GAMING Z790-PLUS WIFI Motherboard,"₹35,999"
