1,PowerSupply,MRP
2,artis VIP 400R 12 Plus 400 Watts PSU,₹999
3,Ant Esports VS450L 450 Watts PSU,"₹1,650"
4,Ant Esports VS400L 400 Watts PSU,"₹1,069"
5,ZEBRONICS SMPS ZEB-N450W (DSATA- 20+4 Pin) Power Supply (Silver) 450 Watts PSU,₹999
6,"Frontech PS-0005 SMPS Compliant with ATX 12V, 20/24 Pin Power Supply Unit 450 Watts PSU",₹569
7,ZEBRONICS ZEB-VS500Z 500 Watts PSU,"₹1,999"
8,"COOLER MASTER MWE 450 Bronze V2 230v, 80 Plus Bronze Certified 450 Watts PSU","₹3,349"
9,ARS INFOTECH SMPS (DSATA- 20+4 Pin) Power Supply (Silver) 240 Watts PSU,₹583
10,ZEBRONICS SMPS ZEB-N450W (DSATA) 450 Watts PSU,₹724
11,COOLER MASTER MWE 450 Bronze 450 Watts PSU,"₹3,349"
12,Deepcool PM850D 850 Watts PSU,"₹8,035"
13,"COOLER MASTER MWE Gold V2, FM 1250W A/IN Cable 1250 Watts PSU","₹20,999"
14,"ENTWINO WARRIOR Gaming Cabinet,Supports 7 RGB Fans,Tempered Glass,NO Fans & Power Supply Full Tower Premium Gaming CPU Case Cabinet","₹6,949"
15,TRP Traders T1000S LED RGB Full Color Programmable Pixel Controller with SD Card DC5V / DC 7.5 â 24V for WS2811 2801 LPD8806 6803 1903 (Controller) 60 Watts PSU,"₹1,250"
16,artis VIP500 GOLD Super Silent Power Supply 500 Watts PSU,"₹2,199"
17,BTronics 12V 33A / 400W DC Switched SMPS Power Supply (12V-33A Rainproof) 400 Watts PSU,"₹1,299"
18,EVGA 110-BQ-0750-VN BQ 750 Watts PSU,"₹7,699"
19,EVGA 220-GT-1300-XN SupernovaGT 1300 Watts PSU,"₹25,899"
20,ASUS TUF Gaming 650B 650 Watts PSU,"₹8,340"
21,DHRUV-PRO Led Indicator 24 Volt / 5 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor AC Input 100/240vAC 120 Watts PSU,₹749
22,Nzxt 850 W 80+ GOLD FULL MODULAR 850 Watts PSU,"₹10,851"
23,Deepcool DQ1000M-V3L 80 Plus Gold Fully Modular 1000 Watts PSU,"₹12,705"
24,EnterGo E-500B 500-Watt Computer Power Supply (Black) 500 Watts PSU,₹659
25,EVGA 220-GT-0850-YN SupernovaGT 850 Watts PSU,"₹10,999"
26,Thermaltake Smart BX1 750W 750 Watts PSU,"₹6,999"
27,artis 2220 2.0C Micro ATX Cabinet,"₹2,399"
28,Enter Computer Power Supply 500w Model No. E-500F 500 Watts PSU,₹743
29,LAPCARE LPS450 450 Watts PSU,₹730
30,LAPCARE LPS450 450 Watts PSU,₹670
31,Divinext 5 Volt 60 Amp 300 Watt Switching Power Supply SMPS Adapter DC5V 300 Watts 300 Watts PSU,"₹1,199"
32,TRP Traders Rainproof 12 Volt 8 Amp SMPS Dc Power Supply for CCTV and LED Strip Light 100 Watts PSU,₹740
33,Frontech PS-0005 450 Watts PSU,₹780
34,MILLENNIUM TECHNOLOGY ATX-450 450 Watts PSU,₹699
35,COOLER MASTER V SFX Gold 750W A/UK Cable 750 Watts PSU,"₹12,873"
36,COOLER MASTER MWE Gold V2 FM 750W A/UK Cable 750 Watts PSU,"₹9,449"
37,TRP Traders 12V 8 Amp SMPS DC Switching Power Supply for CCTV and LED Light 1 year Warranty 100 Watts PSU,₹699
38,COOLER MASTER MWE Gold V2 FM 850W A/UK Cable 850 Watts PSU,"₹10,799"
39,Thermaltake Litepower RGB 650W 650 Watts PSU,"₹4,699"
40,DHRUV-PRO Led Indicator 24 Volt / 10 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 240 Watts PSU,"₹1,179"
41,alwar T-1000S RGB LED strip controller with 256M SD card 2048 pixels for WS2801 WS2811 WS2812B LPD6803 SK6812 LED strip DC5-24V 60 Watts PSU,"₹1,299"
42,SECUREYE 5AMP 12V 4 CHANNEL CCTV SMPS (POWER SUPPLY) 12 Watts PSU,₹535
43,DHRUV-PRO Led Indicator 24 Volt / 2 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor AC Input 100/240vAC 48 Watts PSU,₹544
44,Deepcool DQ850-M-V2L 850 Watts PSU,"₹9,766"
45,Nzxt 1000 W 80+ GOLD FULL MODULAR 1000 Watts PSU,"₹15,598"
