s.no,SSD,MRP
1,"ZEBRONICS ZEB-SD26 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (ZEB-SD26 256 GB Solid State Drive, TLC, SATA II & SATA III Interface)","₹1,099"
2,"WESTERN DIGITAL WD Green SATA 240 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS240G3G0A)","₹1,349"
3,"Crucial BX500 240 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT240BX500SSD1)","₹1,419"
4,"Crucial BX500 3D NAND 2.5-inch 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (CT500BX500SSD1)","₹2,183"
5,"WESTERN DIGITAL WD Blue NVMe SN570 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (WDS500G3B0C)","₹2,579"
6,"ZEBRONICS ZEB SD13 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (ZEB SD13 128GB SSD,Ultra Low Power Consumption, S.M.A.R.T. Thermal Management)",₹749
7,"Crucial MX500 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT1000MX500SSD1)","₹3,500"
8,"Crucial CT500P3SSD8 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (P3 PCIe 3.0 NVMe M.2 2280)","₹2,483"
9,"Crucial BX500 1 TB Desktop, Laptop Internal Solid State Drive (SSD) (CT1000BX500SSD1)","₹4,202"
10,"WESTERN DIGITAL WD Green SATA 480 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS480G3G0A)","₹2,119"
11,"SAMSUNG 870 Evo 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-77E500BW)","₹3,709"
12,"SAMSUNG 970 EVO Plus 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V7S1T0BW)","₹6,049"
13,"WESTERN DIGITAL WD Blue NVMe SN570 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (WDS100T3B0C)","₹4,299"
14,"Consistent S6 256 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (S6 256GB)","₹1,250"
15,"ZEBRONICS 2.5 SATA SSD 256 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (ZEB-SD26)","₹1,390"
16,"Consistent CTSSD 128 GB All in One PC's, Desktop, Laptop, Network Attached Storage Internal Solid State Drive (SSD) (CT)",₹920
17,"WESTERN DIGITAL WD Blue SATA 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS500G3B0A)","₹3,029"
18,"Silicon Power P34A60 256 GB Desktop, Laptop Internal Solid State Drive (SSD) (SP256GBP34A60M28)","₹1,399"
19,"ZEBRONICS ZEB-SD52 512 GB Desktop, Laptop Internal Solid State Drive (SSD) (ZEB-SD52 SSD 512GB, SATA II and SATA III Interface, QLC, Silent Operation)","₹1,899"
20,"ZEBRONICS m.2 nvme 512 GB All in One PC's Internal Solid State Drive (SSD) (MN52 m.2 NVMe (2280) SSD with 512GB Capacity, 1900MB/s Read, 1100MB/s Write)","₹2,499"
21,KITECH KTS100 2.5 Inch 128 GB Desktop Internal Solid State Drive (SSD) (KTS100),₹689
22,"Crucial CT1000P3SSD8 1000 GB Desktop, Laptop Internal Solid State Drive (SSD) (P3 PCIe 3.0 NVMe M.2 2280)","₹3,902"
23,"WESTERN DIGITAL WD Black SN770 1 TB Desktop, Laptop Internal Solid State Drive (SSD) (WDS100T3X0E)","₹5,169"
24,"Crucial CT 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (2.5 inches 7mm Internal (CT250MX500SSD1))","₹1,896"
25,"SAMSUNG 970 EVO Plus 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V7S500BW)","₹3,299"
26,"EXPERTRONICS Pro 256 GB Laptop, All in One PC's Internal Solid State Drive (SSD) (Consistent SSD 256GB WIth Caddy 9.5MM)","₹1,440"
27,"WD SN350 240 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (WDS240G2G0C-00AJM0)","₹1,809"
28,"WD Blue™ SA510 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (500GB 2.5”/7mm SATA SSD - WDS500G3B0A)","₹3,699"
29,Crucial BX500 240 GB Laptop Internal Solid State Drive (SSD) (BX500 240GB 3D NAND SATA 2.5-inch SSD (CT240BX500SSD1)),"₹1,299"
30,"ZEBRONICS SD102 1 TB All in One PC's Internal Solid State Drive (SSD) (SD102 2.5"" 1TB SSD, SATA III, 550MB/s Data Speed, Ultra Low Power.)","₹3,899"
31,"ZEBRONICS NVME SSD M.2 2280 FORM FACTOR 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (ZEB-MN13)","₹1,199"
32,"WD Green 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (WDS480G2G0A)","₹2,325"
33,"WD Green SATA 2.5/7mm disque 240 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (WDS240G2G0A)","₹1,899"
34,"WESTERN DIGITAL WD Green M.2 240 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS240G3G0B)","₹1,349"
35,Silicon Power A55 256 GB Laptop Internal Solid State Drive (SSD) (SP256GBSS3A55S25),"₹1,199"
36,Crucial P3 500 GB All in One PC's Internal Solid State Drive (SSD) (P3 PLUS),"₹3,300"
37,ADATA SSD 256 GB Laptop Internal Solid State Drive (SSD) (SU660),"₹1,758"
38,"EVM sata 256 GB Desktop, All in One PC's, Laptop, Network Attached Storage, Servers, Surveillance Systems Internal Solid State Drive (SSD) (256GB SSD 2.5"" INCH SATA)","₹1,220"
39,"EVM NVME PCIE 1 TB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (EVMNV/1TB)","₹3,999"
40,"Crucial BX500 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT480BX500SSD1)","₹2,103"
41,"EVM SSD 256 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (SSD 256GB M.2 2280)","₹1,299"
42,"WD Blue™ SN570 M.2 NVMe 500 GB Desktop, Laptop, All in One PC's, Network Attached Storage, Surveillance Systems Internal Solid State Drive (SSD) (WDS500G3B0C)","₹3,248"
43,"Consistent SSD 512 GB All in One PC's, Desktop, Laptop, Network Attached Storage, Servers, Surveillance Systems Internal Solid State Drive (SSD) (512 GB SSD)","₹2,100"
44,"SAMSUNG 870 QVO 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-77Q1T0BW)","₹5,999"
45,"GIGABYTE SATA 240 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) ((GP-GSTFS31240GNTD)","₹1,799"
46,"Seagate BarraCuda(ZA240CV10002) SATA SSD 240 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (ZA240CV1A0012)","₹1,799"
47,"SAMSUNG 980 Pro 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V8P500BW)","₹5,699"
48,"ZEBRONICS Smart 128 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (ZEB-SD13)",₹949
49,"EVM SATA 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (256GB SATA SSD)","₹1,250"
